RunScript;Config;RunId;Output;Close Public Transit;Close Workplaces;End Social Activities;End All Other Activities
snz216.sh;config_snz216.xml;snz216;output/30-10-10-30;30;10;10;30
snz217.sh;config_snz217.xml;snz217;output/30-10-20-1000;30;10;20;1000
snz218.sh;config_snz218.xml;snz218;output/30-10-20-10;30;10;20;10
snz219.sh;config_snz219.xml;snz219;output/30-10-20-20;30;10;20;20
snz220.sh;config_snz220.xml;snz220;output/30-10-20-30;30;10;20;30
snz221.sh;config_snz221.xml;snz221;output/30-10-30-1000;30;10;30;1000
snz222.sh;config_snz222.xml;snz222;output/30-10-30-10;30;10;30;10
snz223.sh;config_snz223.xml;snz223;output/30-10-30-20;30;10;30;20
snz224.sh;config_snz224.xml;snz224;output/30-10-30-30;30;10;30;30
snz225.sh;config_snz225.xml;snz225;output/30-20-1000-1000;30;20;1000;1000
snz226.sh;config_snz226.xml;snz226;output/30-20-1000-10;30;20;1000;10
snz227.sh;config_snz227.xml;snz227;output/30-20-1000-20;30;20;1000;20
snz228.sh;config_snz228.xml;snz228;output/30-20-1000-30;30;20;1000;30
snz229.sh;config_snz229.xml;snz229;output/30-20-10-1000;30;20;10;1000
snz230.sh;config_snz230.xml;snz230;output/30-20-10-10;30;20;10;10
snz231.sh;config_snz231.xml;snz231;output/30-20-10-20;30;20;10;20
snz232.sh;config_snz232.xml;snz232;output/30-20-10-30;30;20;10;30
snz233.sh;config_snz233.xml;snz233;output/30-20-20-1000;30;20;20;1000
snz234.sh;config_snz234.xml;snz234;output/30-20-20-10;30;20;20;10
snz235.sh;config_snz235.xml;snz235;output/30-20-20-20;30;20;20;20
snz236.sh;config_snz236.xml;snz236;output/30-20-20-30;30;20;20;30
snz237.sh;config_snz237.xml;snz237;output/30-20-30-1000;30;20;30;1000
snz238.sh;config_snz238.xml;snz238;output/30-20-30-10;30;20;30;10
snz239.sh;config_snz239.xml;snz239;output/30-20-30-20;30;20;30;20
snz240.sh;config_snz240.xml;snz240;output/30-20-30-30;30;20;30;30
snz241.sh;config_snz241.xml;snz241;output/30-30-1000-1000;30;30;1000;1000
snz242.sh;config_snz242.xml;snz242;output/30-30-1000-10;30;30;1000;10
snz243.sh;config_snz243.xml;snz243;output/30-30-1000-20;30;30;1000;20
snz244.sh;config_snz244.xml;snz244;output/30-30-1000-30;30;30;1000;30
snz245.sh;config_snz245.xml;snz245;output/30-30-10-1000;30;30;10;1000
snz246.sh;config_snz246.xml;snz246;output/30-30-10-10;30;30;10;10
snz247.sh;config_snz247.xml;snz247;output/30-30-10-20;30;30;10;20
snz248.sh;config_snz248.xml;snz248;output/30-30-10-30;30;30;10;30
snz249.sh;config_snz249.xml;snz249;output/30-30-20-1000;30;30;20;1000
snz250.sh;config_snz250.xml;snz250;output/30-30-20-10;30;30;20;10
snz251.sh;config_snz251.xml;snz251;output/30-30-20-20;30;30;20;20
snz252.sh;config_snz252.xml;snz252;output/30-30-20-30;30;30;20;30
snz253.sh;config_snz253.xml;snz253;output/30-30-30-1000;30;30;30;1000
snz254.sh;config_snz254.xml;snz254;output/30-30-30-10;30;30;30;10
snz255.sh;config_snz255.xml;snz255;output/30-30-30-20;30;30;30;20
snz256.sh;config_snz256.xml;snz256;output/30-30-30-30;30;30;30;30
