scenario,t,y
Distant future,1970-01-01 19:15:00,0.9410266876932436
Distant future,1970-01-01 19:30:00,0.9400452463700278
Distant future,1970-01-01 19:45:00,0.9372173365269474
Distant future,1970-01-01 20:00:00,0.9394172868205697
Distant future,1970-01-01 20:15:00,0.9543730089850527
Distant future,1970-01-01 20:30:00,0.9644765847762198
Distant future,1970-01-01 20:45:00,0.9714321898468172
Distant future,1970-01-01 21:00:00,0.9760309862424579
Distant future,1970-01-01 21:15:00,0.9790592695498083
Distant future,1970-01-01 21:30:00,0.9802655920500141
Distant future,1970-01-01 21:45:00,0.9835721160525012
Distant future,1970-01-01 22:00:00,0.983853837423373
Distant future,1970-01-01 22:15:00,0.9852728849547046
Distant future,1970-01-01 22:30:00,0.9876683944036849
Distant future,1970-01-01 22:45:00,0.9880140931370455
Distant future,1970-01-01 23:00:00,0.9876667637676196
Distant future,1970-01-01 23:15:00,0.9901967968746109
Distant future,1970-01-01 23:30:00,0.9923176337493561
Distant future,1970-01-01 23:45:00,0.9933058914590751
