id,x,y,infectedButNotContagious,contagious,showingSymptoms,seriouslySick,critical,recovered
136091701,4661487,5740075,34,38,40,0,0,50
379492201,4590501,5818075,18,22,0,0,0,34
225851601,4577305,5823056,17,21,23,0,0,33
354877601,4592296,5830153,25,29,31,0,0,41
274365401,4591960,5827546,21,25,27,0,0,37
37431401,4586415,5796764,22,26,28,0,0,38
347730001,4589050,5827312,25,29,31,0,0,41
52462601,4560436,5832177,37,41,43,47,0,60
276352801,4599693,5811368,0,0,0,0,0,0
254827001,4591750,5815053,29,33,35,0,0,45
410231701,4589235,5810326,21,25,27,0,0,37
346858601,4578139,5809556,0,0,0,0,0,0
464895201,4574161,5896306,37,41,43,0,0,53
88134201,4572204,5808955,29,33,35,0,0,45
384987701,4590539,5831551,21,25,0,0,0,37
263064001,4587655,5816320,25,29,31,0,0,41
83838501,4571530,5809088,25,29,31,0,0,41
244373201,4599319,5813373,17,21,23,0,0,33
448696801,4599771,5823405,25,29,31,0,0,41
407216101,4597640,5829923,17,21,0,0,0,33
401542201,4587366,5816677,21,25,27,0,0,37
443536001,4588594,5813930,29,33,35,39,0,52
97625301,4523052,5828628,34,38,0,0,0,50
314243501,4596220,5818982,17,21,23,0,0,33
434036701,4601270,5824637,21,25,27,0,0,37
195129001,4596392,5824302,0,0,0,0,0,0
323663601,4588912,5819571,17,21,23,0,0,33
157063301,4586593,5840436,17,21,23,0,0,33
351497401,4598612,5826367,26,30,32,0,0,42
125930301,4655792,5844346,0,0,0,0,0,0
245343301,4593786,5821632,23,27,0,0,0,39
10651101,4608393,5804477,25,29,31,0,0,41
34702001,4648006,5745986,37,41,43,0,0,53
408529901,4588738,5822085,21,25,27,0,0,37
129168401,4659349,5738155,0,0,0,0,0,0
336905401,4594998,5815334,0,0,0,0,0,0
12323801,4521013,5901699,0,0,0,0,0,0
383824001,4590786,5819541,21,25,27,0,0,37
101428701,4626159,5825402,0,0,0,0,0,0
172169901,4594340,5818581,22,26,28,0,0,38
93310701,4570315,5809434,29,33,35,0,0,45
77577201,4596799,5709832,0,0,0,0,0,0
70271301,4673997,5722373,41,45,47,61,52,64
6199501,4628888,5758869,0,0,0,0,0,0
57181001,4618104,5857595,17,21,23,0,0,33
53076701,4551349,5822053,0,0,0,0,0,0
470669001,4560984,5885651,0,0,0,0,0,0
45353401,4597780,5799963,25,29,31,0,0,41
450483301,4599175,5814297,21,25,0,0,0,37
428319501,4577460,5822963,0,0,0,0,0,0
419268401,4600206,5815242,17,21,23,0,0,33
411244601,4596169,5815522,17,21,23,0,0,33
405458601,4595192,5813463,21,25,27,0,0,37
392457301,4603232,5827973,22,26,28,0,0,38
369001501,4587893,5817467,17,21,23,0,0,33
361506801,4583595,5820116,25,29,31,0,0,41
360585501,4592377,5825997,17,21,23,0,0,33
342359501,4594153,5817223,21,25,27,0,0,37
316203901,4602549,5813775,17,21,23,0,0,33
228577601,4590291,5820279,25,29,31,0,0,41
216818701,4600378,5821819,33,37,39,0,0,49
20140501,4617031,5744249,50,54,56,60,0,73
194812301,4591241,5825532,21,25,27,0,0,37
193988401,4597904,5823337,21,25,0,0,0,37
178291201,4592303,5826443,22,26,28,0,0,38
173387501,4583700,5827393,29,33,35,0,0,45
170656901,4556398,5864813,33,37,0,0,0,49
163898401,4540649,5806536,34,38,0,0,0,50
15781401,4604385,5829709,21,25,27,0,0,37
157547301,4559575,5773948,0,0,0,0,0,0
155720001,4640209,5726216,36,40,0,0,0,52
103572701,4637932,5710560,33,37,0,0,0,49
470254701,4629965,5705776,41,45,47,0,0,57
401677001,4598308,5825269,21,25,0,0,0,37
128753401,4662949,5733297,39,43,45,0,0,55
100928201,4627604,5828675,21,25,27,0,0,37
55486701,4610546,5797621,0,0,0,0,0,0
39841801,4624699,5913302,33,37,0,0,0,49
359033501,4609167,5824530,25,29,31,0,0,41
280011901,4582085,5811457,22,26,0,0,0,38
354970101,4587271,5820738,21,25,27,0,0,37
172402301,4594077,5825015,17,21,23,0,0,33
413615801,4593293,5824701,25,29,0,0,0,41
226788501,4578025,5823983,0,0,0,0,0,0
300820101,4589195,5813643,25,29,0,0,0,41
161369801,4537259,5805021,34,38,0,0,0,50
124712101,4584255,5803949,29,33,0,0,0,45
415727001,4581191,5824769,21,25,27,0,0,37
254130801,4608481,5822129,25,29,31,0,0,41
